127.0.0.1 - - [24/Mar/2017:21:00:32 -0300] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:00:57 -0300] "GET /PedidoVenda HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:00:57 -0300] "GET /PedidoVenda/ HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:00:58 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml;jsessionid=8E5B2181C3312652AD97F5B8615EBBF8?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:00:58 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml;jsessionid=8E5B2181C3312652AD97F5B8615EBBF8?ln=images HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:00:58 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24440
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 30554
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 107785
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 245797
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 357791
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:01:10 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 75458
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:02:51 -0300] "POST /PedidoVenda/Login.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:03:31 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:03:31 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 200 75458
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:03:31 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:03:31 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 24440
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:23 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:24 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3421
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:26 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:43 -0300] "GET /PedidoVenda/javax.faces.resource/topo-logo-empresa.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/Login.xhtml HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2017:21:05:44 -0300] "GET /PedidoVenda/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.0 HTTP/1.1" 304 -
